Table 3. Personal Income by State and Region: Level and Percent Change From Preceding Period,,,,,,,,,,,,,,,
,Millions of dollars,,,,,,,"Percent change from
preceding period1",,,,,,,
,2022,2023,Seasonally adjusted at annual rates,,,,,,,,,,,,
,,,2023,,2024,,,2023,2023,2023,,2024,,,2024
,,,Q3,Q4,Q1r,Q2r,Q3p,,Rank,Q3,Q4,Q1r,Q2r,Q3p,Rank Q3
United States,"22,077,232","23,380,269","23,509,675","23,783,094","24,318,721","24,548,487","24,739,861",5.9,........,4.2,4.7,9.3,3.8,3.2,........
New England ,"1,210,641","1,278,575","1,283,948","1,300,451","1,335,470","1,344,192","1,352,640",5.6,........,3.3,5.2,11.2,2.6,2.5,........
Connecticut,"306,718","325,346","326,785","331,213","338,643","341,374","343,815",6.1,16,3.4,5.5,9.3,3.3,2.9,32
Maine ,"85,708","90,868","91,069","92,284","94,678","95,125","96,024",6,17,4.8,5.4,10.8,1.9,3.8,10
Massachusetts ,"601,910","634,296","636,884","644,871","664,164","668,412","671,448",5.4,30,2.8,5.1,12.5,2.6,1.8,43
New Hampshire ,"104,684","110,684","111,175","112,828","115,956","116,449","117,475",5.7,21,3,6.1,11.6,1.7,3.6,14
Rhode Island ,"70,450","74,046","74,685","75,207","77,111","77,381","78,011",5.1,40,6.6,2.8,10.5,1.4,3.3,21
Vermont ,"41,172","43,336","43,351","44,048","44,918","45,451","45,866",5.3,36,0.9,6.6,8.1,4.8,3.7,11
Mideast ,"3,665,789","3,875,065","3,904,670","3,937,310","4,015,899","4,060,513","4,092,793",5.7,........,4.7,3.4,8.2,4.5,3.2,........
Delaware ,"65,208","68,982","69,386","69,988","71,520","72,851","73,708",5.8,20,3.7,3.5,9,7.7,4.8,3
District of Columbia ,"67,776","72,525","72,782","73,718","75,090","75,972","76,502",7,........,1.5,5.2,7.7,4.8,2.8,........
Maryland ,"439,741","465,937","469,388","474,252","487,203","489,767","493,453",6,18,5,4.2,11.4,2.1,3,26
New Jersey,"719,974","762,803","768,604","775,482","789,284","797,267","803,093",5.9,19,5.6,3.6,7.3,4.1,3,29
New York,"1,524,707","1,611,169","1,628,498","1,636,638","1,675,196","1,698,736","1,711,236",5.7,22,5.6,2,9.8,5.7,3,28
Pennsylvania ,"848,383","893,649","896,011","907,232","917,605","925,920","934,802",5.3,33,2.8,5.1,4.7,3.7,3.9,7
Great Lakes ,"2,899,493","3,049,473","3,065,630","3,100,458","3,159,174","3,186,727","3,208,747",5.2,........,4,4.6,7.8,3.5,2.8,........
Illinois ,"862,729","906,648","910,908","921,689","934,264","939,567","945,648",5.1,41,3.6,4.8,5.6,2.3,2.6,35
Indiana,"402,919","420,260","422,389","427,273","438,940","442,161","444,143",4.3,46,3.8,4.7,11.4,3,1.8,45
Michigan ,"582,021","613,719","616,987","621,519","634,628","641,707","646,334",5.4,28,3.4,3,8.7,4.5,2.9,31
Ohio ,"686,658","724,779","729,288","738,642","752,548","762,624","768,317",5.6,26,4.9,5.2,7.7,5.5,3,27
Wisconsin ,"365,165","384,068","386,056","391,335","398,794","400,668","404,305",5.2,38,4.8,5.6,7.8,1.9,3.7,12
Plains ,"1,394,917","1,464,221","1,471,726","1,483,319","1,500,677","1,509,142","1,518,142",5,........,3.8,3.2,4.8,2.3,2.4,........
Iowa ,"197,021","201,333","202,210","203,021","204,253","204,987","205,823",2.2,49,4.3,1.6,2.5,1.4,1.6,46
Kansas,"183,034","194,414","195,970","197,196","199,200","201,805","202,714",6.2,15,5.1,2.5,4.1,5.3,1.8,44
Minnesota ,"399,446","416,325","418,718","422,428","429,704","430,744","434,149",4.2,47,4.3,3.6,7.1,1,3.2,24
Missouri ,"364,499","387,905","389,565","394,487","400,631","402,755","406,057",6.4,11,3.2,5.2,6.4,2.1,3.3,20
Nebraska,"131,989","141,151","141,834","142,438","142,605","144,107","144,441",6.9,6,3.3,1.7,0.5,4.3,0.9,48
North Dakota ,"55,488","56,475","56,537","56,542","56,407","56,444","56,339",1.8,50,0.4,0,-1,0.3,-0.7,50
South Dakota ,"63,440","66,620","66,891","67,206","67,877","68,300","68,619",5,43,3.1,1.9,4,2.5,1.9,41
Southeast ,"5,153,501","5,491,964","5,518,918","5,602,366","5,732,304","5,783,728","5,833,472",6.6,........,4.5,6.2,9.6,3.6,3.5,........
Alabama ,"262,236","276,926","278,232","281,677","287,664","290,662","294,246",5.6,25,4.4,5,8.8,4.2,5,2
Arkansas,"168,535","176,809","176,795","178,103","181,521","182,720","185,124",4.9,44,1.2,3,7.9,2.7,5.4,1
Florida ,"1,436,107","1,553,426","1,560,799","1,586,008","1,625,719","1,635,962","1,649,632",8.2,1,4.3,6.6,10.4,2.5,3.4,18
Georgia ,"625,219","660,447","664,289","673,964","689,814","694,402","699,661",5.6,24,4.2,6,9.7,2.7,3.1,25
Kentucky,"237,781","250,569","252,640","254,333","261,409","262,891","265,144",5.4,31,5.3,2.7,11.6,2.3,3.5,15
Louisiana ,"255,687","269,140","269,975","273,999","279,600","281,192","282,784",5.3,35,4.2,6.1,8.4,2.3,2.3,40
Mississippi ,"138,523","145,962","146,125","148,511","150,827","152,513","154,297",5.4,32,1.7,6.7,6.4,4.5,4.8,4
North Carolina ,"630,559","670,051","673,561","685,101","703,202","711,802","718,785",6.3,13,6,7,11,5,4,5
South Carolina ,"287,548","308,078","310,098","314,770","323,748","327,552","329,514",7.1,4,7.4,6.2,11.9,4.8,2.4,38
Tennessee ,"417,369","443,472","445,976","452,615","462,071","468,579","472,588",6.3,14,5.1,6.1,8.6,5.8,3.5,16
Virginia ,"604,996","643,579","646,815","658,210","669,586","677,753","683,173",6.4,12,3.9,7.2,7.1,5,3.2,23
West Virginia ,"88,939","93,505","93,612","95,075","97,143","97,700","98,523",5.1,39,1.3,6.4,9,2.3,3.4,17
Southwest ,"2,671,309","2,848,129","2,861,547","2,899,570","2,959,573","2,984,254","3,010,591",6.6,........,4.6,5.4,8.5,3.4,3.6,........
Arizona ,"434,339","464,775","467,296","472,049","483,923","487,323","490,673",7,5,2.9,4.1,10.4,2.8,2.8,33
New Mexico,"112,181","117,016","117,021","118,722","121,270","122,479","123,207",4.3,45,0.3,5.9,8.9,4,2.4,39
Oklahoma,"233,290","245,439","246,436","249,256","253,341","256,310","257,941",5.2,37,4.3,4.7,6.7,4.8,2.6,36
Texas,"1,891,499","2,020,899","2,030,794","2,059,543","2,101,039","2,118,143","2,138,770",6.8,7,5.3,5.8,8.3,3.3,4,6
Rocky Mountain ,"877,761","928,161","932,655","945,761","964,047","974,213","982,210",5.7,........,4.1,5.7,8,4.3,3.3,........
Colorado ,"447,854","470,606","472,402","478,849","487,164","491,119","495,163",5.1,42,3,5.6,7.1,3.3,3.3,19
Idaho ,"110,794","116,675","117,067","118,875","121,231","123,506","124,690",5.3,34,5,6.3,8.2,7.7,3.9,8
Montana ,"69,132","73,620","73,914","74,926","76,026","76,525","76,876",6.5,10,3.8,5.6,6,2.6,1.9,42
Utah ,"205,519","219,332","221,105","224,295","230,012","232,851","235,074",6.7,8,6,5.9,10.6,5,3.9,9
Wyoming ,"44,460","47,928","48,167","48,816","49,614","50,212","50,407",7.8,2,4.3,5.5,6.7,4.9,1.6,47
Far West,"4,203,822","4,444,680","4,470,581","4,513,859","4,651,578","4,705,717","4,741,266",5.7,........,3.8,3.9,12.8,4.7,3.1,........
Alaska ,"50,607","52,520","53,050","53,569","55,062","55,272","55,717",3.8,48,6.5,4,11.6,1.5,3.3,22
California ,"3,003,826","3,166,135","3,183,699","3,210,090","3,322,203","3,356,681","3,386,442",5.4,29,3.6,3.4,14.7,4.2,3.6,13
Hawaii ,"90,054","94,971","95,412","96,705","98,568","100,676","101,349",5.5,27,3.3,5.5,7.9,8.8,2.7,34
Nevada,"198,485","211,575","213,088","216,592","222,079","223,233","224,579",6.6,9,5.6,6.7,10.5,2.1,2.4,37
Oregon ,"271,773","287,182","289,282","290,969","297,316","302,014","304,198",5.7,23,4.9,2.4,9,6.5,2.9,30
Washington,"589,077","632,296","636,049","645,934","656,350","667,841","668,980",7.3,3,3.7,6.4,6.6,7.2,0.7,49
r Revised,,,,,,,,,,,,,,,
p Preliminary,,,,,,,,,,,,,,,
"1. Quarterly percent changes shown are annualized—that is, they are a percent change from the preceding period at annual rates.",,,,,,,,,,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,
